LotNumber,Unit,Quantity Consumed,Consumed Into,Transaction Date,Operator
ALC_MK_0147183,EA,42,MK86_02,2024-10-15T06:35:37Z,Andrew Hunt
ALC_MK_0147184,EA,48,MK86_02,2024-10-13T02:35:09Z,Tony Stark
ALC_MK_0147185,EA,25,MK86_02,2024-10-14T13:15:12Z,Tony Stark
ALC_MK_0147186,EA,23,MK86_02,2024-10-17T05:17:05Z,Tony Stark
ALC_MK_0147187,EA,55,MK86_02,2024-10-16T04:04:14Z,Bruce Banner
ALC_MK_0147188,EA,43,MK86_02,2024-10-16T12:29:26Z,Peter Parker
ALC_MK_0147189,EA,29,MK86_02,2024-10-13T22:52:29Z,Andrew Hunt
ALC_MK_0147190,EA,6,MK86_02,2024-10-13T15:23:47Z,Tony Stark
ALC_MK_0147191,EA,6,MK86_02,2024-10-13T03:24:38Z,Tony Stark
ALC_MK_0147192,EA,20,MK86_02,2024-10-16T06:02:44Z,Tony Stark
ALC_MK_0147193,EA,55,MK86_02,2024-10-16T02:25:14Z,Bruce Banner
ALC_MK_0147194,EA,34,MK86_02,2024-10-16T03:02:38Z,Peter Parker
ALC_MK_0147195,EA,1,MK86_02,2024-10-14T13:47:54Z,Andrew Hunt
ALC_MK_0147196,EA,55,MK86_02,2024-10-17T20:39:55Z,Tony Stark
ALC_MK_0147197,EA,36,MK86_02,2024-10-13T19:42:48Z,Tony Stark
ALC_MK_0147198,EA,14,MK86_02,2024-10-15T01:12:22Z,Tony Stark
ALC_MK_0147199,EA,28,MK86_02,2024-10-16T03:15:02Z,Bruce Banner
ALC_MK_0147200,EA,44,MK86_02,2024-10-17T11:57:33Z,Peter Parker
ALC_MK_0147201,EA,55,MK86_02,2024-10-17T20:27:13Z,Andrew Hunt
ALC_MK_0147202,EA,25,MK86_02,2024-10-16T19:11:59Z,Tony Stark
ALC_MK_0147203,EA,53,MK86_02,2024-10-17T03:17:48Z,Tony Stark
ALC_MK_0147204,EA,50,MK86_02,2024-10-15T06:26:21Z,Tony Stark
ALC_MK_0147205,EA,42,MK86_02,2024-10-14T20:14:26Z,Bruce Banner
ALC_MK_0147206,EA,28,MK86_02,2024-10-15T17:56:43Z,Peter Parker
ALC_MK_0147207,EA,49,MK86_02,2024-10-15T12:59:25Z,Andrew Hunt
ALC_MK_0147208,EA,18,MK86_02,2024-10-15T07:11:03Z,Tony Stark
ALC_MK_0147209,EA,31,MK86_02,2024-10-17T02:41:34Z,Tony Stark
ALC_MK_0147210,EA,12,MK86_02,2024-10-14T21:53:00Z,Tony Stark
ALC_MK_0147211,EA,47,MK86_02,2024-10-14T05:11:31Z,Bruce Banner
AIC_J_02_004,EA,1,MK86_07,2024-10-13T03:21:33Z,Tony Stark
HE510432C,EA,1,MK86_07,2024-10-13T04:21:33Z,Tony Stark
CH277288B,EA,1,MK86_07,2024-10-13T04:31:33Z,Tony Stark
ARC465306,EA,1,MK86_07,2024-10-13T05:51:33Z,Bruce Banner
SH569537A,EA,1,MK86_07,2024-10-14T17:17:23Z,Peter Parker
SH165759C,EA,1,MK86_07,2024-10-14T19:17:23Z,Andrew Hunt
AR240136B,EA,1,MK86_07,2024-10-14T19:43:23Z,Tony Stark
AR369548C,EA,1,MK86_07,2024-10-14T21:17:23Z,Tony Stark
HA409236B,EA,1,MK86_07,2024-10-16T06:24:24Z,Tony Stark
HA188190B,EA,1,MK86_07,2024-10-16T01:40:49Z,Bruce Banner
LE461691B,EA,1,MK86_07,2024-10-16T17:12:43Z,Peter Parker
LE490294A,EA,1,MK86_07,2024-10-16T05:33:29Z,Andrew Hunt
FO586017A,EA,1,MK86_07,2024-10-17T17:12:43Z,Tony Stark
FO197914B,EA,1,MK86_07,2024-10-17T05:33:29Z,Tony Stark
TH920568C,EA,1,MK86_07,2024-10-17T17:43:43Z,Tony Stark
IF2349,L,150,MK86_07,2024-10-17T22:12:43Z,Bruce Banner
ALC_MK_0147158,EA,41,MK86_07,2024-10-14T17:17:23Z,Peter Parker
ALC_MK_0147159,EA,42,MK86_07,2024-10-16T06:24:24Z,Andrew Hunt
ALC_MK_0147160,EA,44,MK86_07,2024-10-16T01:40:49Z,Tony Stark
ALC_MK_0147161,EA,45,MK86_07,2024-10-13T09:01:00Z,Tony Stark
ALC_MK_0147162,EA,26,MK86_07,2024-10-14T22:02:00Z,Tony Stark
ALC_MK_0147163,EA,19,MK86_07,2024-10-14T17:38:31Z,Bruce Banner
ALC_MK_0147164,EA,26,MK86_07,2024-10-14T20:57:46Z,Peter Parker
ALC_MK_0147165,EA,20,MK86_07,2024-10-13T14:19:56Z,Andrew Hunt
ALC_MK_0147166,EA,10,MK86_07,2024-10-13T03:21:33Z,Tony Stark
ALC_MK_0147167,EA,10,MK86_07,2024-10-14T12:33:05Z,Tony Stark
ALC_MK_0147168,EA,49,MK86_07,2024-10-16T17:12:43Z,Tony Stark
ALC_MK_0147169,EA,8,MK86_07,2024-10-16T05:33:29Z,Bruce Banner
ALC_MK_0147170,EA,46,MK86_07,2024-10-16T07:08:52Z,Peter Parker
ALC_MK_0147171,EA,9,MK86_07,2024-10-16T20:45:51Z,Andrew Hunt
ALC_MK_0147172,EA,4,MK86_07,2024-10-16T11:00:43Z,Tony Stark
ALC_MK_0147173,EA,38,MK86_07,2024-10-16T08:22:04Z,Tony Stark
ALC_MK_0147174,EA,41,MK86_07,2024-10-16T02:51:25Z,Tony Stark
ALC_MK_0147175,EA,40,MK86_07,2024-10-14T18:09:39Z,Bruce Banner
ALC_MK_0147176,EA,46,MK86_07,2024-10-15T05:23:28Z,Peter Parker
ALC_MK_0147177,EA,30,MK86_07,2024-10-14T15:52:36Z,Andrew Hunt
ALC_MK_0147178,EA,32,MK86_07,2024-10-13T20:27:08Z,Tony Stark
ALC_MK_0147179,EA,16,MK86_07,2024-10-14T07:17:16Z,Tony Stark
ALC_MK_0147180,EA,16,MK86_07,2024-10-13T10:51:36Z,Tony Stark
ALC_MK_0147181,EA,44,MK86_07,2024-10-17T16:28:22Z,Bruce Banner
ALC_MK_0147182,EA,32,MK86_07,2024-10-16T22:38:56Z,Peter Parker
ALC_MK_0147183,EA,42,MK86_07,2024-10-15T06:35:37Z,Andrew Hunt
ALC_MK_0147184,EA,48,MK86_07,2024-10-13T02:35:09Z,Tony Stark
ALC_MK_0147185,EA,25,MK86_07,2024-10-14T13:15:12Z,Tony Stark
ALC_MK_0147186,EA,23,MK86_07,2024-10-17T05:17:05Z,Tony Stark
ALC_MK_0147187,EA,55,MK86_07,2024-10-16T04:04:14Z,Bruce Banner
ALC_MK_0147188,EA,43,MK86_07,2024-10-16T12:29:26Z,Peter Parker
ALC_MK_0147189,EA,29,MK86_07,2024-10-13T22:52:29Z,Andrew Hunt
ALC_MK_0147190,EA,6,MK86_07,2024-10-13T15:23:47Z,Tony Stark
ALC_MK_0147191,EA,6,MK86_07,2024-10-13T03:24:38Z,Tony Stark
ALC_MK_0147192,EA,20,MK86_07,2024-10-16T06:02:44Z,Tony Stark
ALC_MK_0147193,EA,55,MK86_07,2024-10-16T02:25:14Z,Bruce Banner
ALC_MK_0147194,EA,34,MK86_07,2024-10-16T03:02:38Z,Peter Parker
ALC_MK_0147195,EA,1,MK86_07,2024-10-14T13:47:54Z,Andrew Hunt
ALC_MK_0147196,EA,55,MK86_07,2024-10-17T20:39:55Z,Tony Stark
ALC_MK_0147197,EA,36,MK86_07,2024-10-13T19:42:48Z,Tony Stark
ALC_MK_0147198,EA,14,MK86_07,2024-10-15T01:12:22Z,Tony Stark
ALC_MK_0147199,EA,28,MK86_07,2024-10-16T03:15:02Z,Bruce Banner
ALC_MK_0147200,EA,44,MK86_07,2024-10-17T11:57:33Z,Peter Parker
ALC_MK_0147201,EA,55,MK86_07,2024-10-17T20:27:13Z,Andrew Hunt
ALC_MK_0147202,EA,25,MK86_07,2024-10-16T19:11:59Z,Tony Stark
ALC_MK_0147203,EA,53,MK86_07,2024-10-17T03:17:48Z,Tony Stark
ALC_MK_0147204,EA,50,MK86_07,2024-10-15T06:26:21Z,Tony Stark
ALC_MK_0147205,EA,42,MK86_07,2024-10-14T20:14:26Z,Bruce Banner
ALC_MK_0147206,EA,28,MK86_07,2024-10-15T17:56:43Z,Peter Parker
ALC_MK_0147207,EA,49,MK86_07,2024-10-15T12:59:25Z,Andrew Hunt
ALC_MK_0147208,EA,18,MK86_07,2024-10-15T07:11:03Z,Tony Stark
ALC_MK_0147209,EA,31,MK86_07,2024-10-17T02:41:34Z,Tony Stark
ALC_MK_0147210,EA,12,MK86_07,2024-10-14T21:53:00Z,Tony Stark
ALC_MK_0147211,EA,47,MK86_07,2024-10-14T05:11:31Z,Bruce Banner
AIC_J_01_001,EA,1,MK86_01,2024-10-13T03:21:33Z,Tony Stark
HE114129A,EA,1,MK86_01,2024-10-13T04:21:33Z,Tony Stark
CH649029B,EA,1,MK86_01,2024-10-13T04:31:33Z,Tony Stark
ARC3329680,EA,1,MK86_01,2024-10-13T05:51:33Z,Bruce Banner
SH615361A,EA,1,MK86_01,2024-10-14T17:17:23Z,Peter Parker
SH621249C,EA,1,MK86_01,2024-10-14T19:17:23Z,Andrew Hunt
AR762236A,EA,1,MK86_01,2024-10-14T19:43:23Z,Tony Stark
AR904616B,EA,1,MK86_01,2024-10-14T21:17:23Z,Tony Stark
HA758438B,EA,1,MK86_01,2024-10-16T06:24:24Z,Tony Stark
HA283115C,EA,1,MK86_01,2024-10-16T01:40:49Z,Bruce Banner
LE179006C,EA,1,MK86_01,2024-10-16T17:12:43Z,Peter Parker
LE908120A,EA,1,MK86_01,2024-10-16T05:33:29Z,Andrew Hunt
FO602174C,EA,1,MK86_01,2024-10-17T17:12:43Z,Tony Stark
FO383000C,EA,1,MK86_01,2024-10-17T05:33:29Z,Tony Stark
TH207681B,EA,1,MK86_01,2024-10-17T17:43:43Z,Tony Stark
IF2349,L,150,MK86_01,2024-10-17T22:12:43Z,Bruce Banner
ALC_MK_0147158,EA,41,MK86_01,2024-10-14T17:17:23Z,Peter Parker
ALC_MK_0147159,EA,42,MK86_01,2024-10-16T06:24:24Z,Andrew Hunt
ALC_MK_0147160,EA,44,MK86_01,2024-10-16T01:40:49Z,Tony Stark
ALC_MK_0147161,EA,45,MK86_01,2024-10-13T09:01:00Z,Tony Stark
ALC_MK_0147162,EA,26,MK86_01,2024-10-14T22:02:00Z,Tony Stark
ALC_MK_0147163,EA,19,MK86_01,2024-10-14T17:38:31Z,Bruce Banner
ALC_MK_0147164,EA,26,MK86_01,2024-10-14T20:57:46Z,Peter Parker
ALC_MK_0147165,EA,20,MK86_01,2024-10-13T14:19:56Z,Andrew Hunt
ALC_MK_0147166,EA,10,MK86_01,2024-10-13T03:21:33Z,Tony Stark
ALC_MK_0147167,EA,10,MK86_01,2024-10-14T12:33:05Z,Tony Stark
ALC_MK_0147168,EA,49,MK86_01,2024-10-16T17:12:43Z,Tony Stark
ALC_MK_0147169,EA,8,MK86_01,2024-10-16T05:33:29Z,Bruce Banner
ALC_MK_0147170,EA,46,MK86_01,2024-10-16T07:08:52Z,Peter Parker
ALC_MK_0147171,EA,9,MK86_01,2024-10-16T20:45:51Z,Andrew Hunt
ALC_MK_0147172,EA,4,MK86_01,2024-10-16T11:00:43Z,Tony Stark
ALC_MK_0147173,EA,38,MK86_01,2024-10-16T08:22:04Z,Tony Stark
ALC_MK_0147174,EA,41,MK86_01,2024-10-16T02:51:25Z,Tony Stark
ALC_MK_0147175,EA,40,MK86_01,2024-10-14T18:09:39Z,Bruce Banner
ALC_MK_0147176,EA,46,MK86_01,2024-10-15T05:23:28Z,Peter Parker
ALC_MK_0147177,EA,30,MK86_01,2024-10-14T15:52:36Z,Andrew Hunt
ALC_MK_0147178,EA,32,MK86_01,2024-10-13T20:27:08Z,Tony Stark
ALC_MK_0147179,EA,16,MK86_01,2024-10-14T07:17:16Z,Tony Stark
ALC_MK_0147180,EA,16,MK86_01,2024-10-13T10:51:36Z,Tony Stark
ALC_MK_0147181,EA,44,MK86_01,2024-10-17T16:28:22Z,Bruce Banner
ALC_MK_0147182,EA,32,MK86_01,2024-10-16T22:38:56Z,Peter Parker
ALC_MK_0147183,EA,42,MK86_01,2024-10-15T06:35:37Z,Andrew Hunt
ALC_MK_0147184,EA,48,MK86_01,2024-10-13T02:35:09Z,Tony Stark
ALC_MK_0147185,EA,25,MK86_01,2024-10-14T13:15:12Z,Tony Stark
ALC_MK_0147186,EA,23,MK86_01,2024-10-17T05:17:05Z,Tony Stark
ALC_MK_0147187,EA,55,MK86_01,2024-10-16T04:04:14Z,Bruce Banner
ALC_MK_0147188,EA,43,MK86_01,2024-10-16T12:29:26Z,Peter Parker
ALC_MK_0147189,EA,29,MK86_01,2024-10-13T22:52:29Z,Andrew Hunt
ALC_MK_0147190,EA,6,MK86_01,2024-10-13T15:23:47Z,Tony Stark
ALC_MK_0147191,EA,6,MK86_01,2024-10-13T03:24:38Z,Tony Stark
ALC_MK_0147192,EA,20,MK86_01,2024-10-16T06:02:44Z,Tony Stark
ALC_MK_0147193,EA,55,MK86_01,2024-10-16T02:25:14Z,Bruce Banner
ALC_MK_0147194,EA,34,MK86_01,2024-10-16T03:02:38Z,Peter Parker
ALC_MK_0147195,EA,1,MK86_01,2024-10-14T13:47:54Z,Andrew Hunt
ALC_MK_0147196,EA,55,MK86_01,2024-10-17T20:39:55Z,Tony Stark
ALC_MK_0147197,EA,36,MK86_01,2024-10-13T19:42:48Z,Tony Stark
ALC_MK_0147198,EA,14,MK86_01,2024-10-15T01:12:22Z,Tony Stark
ALC_MK_0147199,EA,28,MK86_01,2024-10-16T03:15:02Z,Bruce Banner
ALC_MK_0147200,EA,44,MK86_01,2024-10-17T11:57:33Z,Peter Parker
ALC_MK_0147201,EA,55,MK86_01,2024-10-17T20:27:13Z,Andrew Hunt
ALC_MK_0147202,EA,25,MK86_01,2024-10-16T19:11:59Z,Tony Stark
ALC_MK_0147203,EA,53,MK86_01,2024-10-17T03:17:48Z,Tony Stark
ALC_MK_0147204,EA,50,MK86_01,2024-10-15T06:26:21Z,Tony Stark
ALC_MK_0147205,EA,42,MK86_01,2024-10-14T20:14:26Z,Bruce Banner
ALC_MK_0147206,EA,28,MK86_01,2024-10-15T17:56:43Z,Peter Parker
ALC_MK_0147207,EA,49,MK86_01,2024-10-15T12:59:25Z,Andrew Hunt
ALC_MK_0147208,EA,18,MK86_01,2024-10-15T07:11:03Z,Tony Stark
ALC_MK_0147209,EA,31,MK86_01,2024-10-17T02:41:34Z,Tony Stark
ALC_MK_0147210,EA,12,MK86_01,2024-10-14T21:53:00Z,Tony Stark
ALC_MK_0147211,EA,47,MK86_01,2024-10-14T05:11:31Z,Bruce Banner
